NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62242;Sankt Jakob im Walde ;545;499;1044;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62244;Sankt Johann in der Haide ;1044;1099;2143;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62245;Sankt Lorenzen am Wechsel ;778;724;1502;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62247;Schäffern ;738;663;1401;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62252;Söchau ;683;736;1419;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62256;Stubenberg ;1063;1109;2172;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62262;Wenigzell ;721;682;1403;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62264;Bad Waltersdorf ;1917;1886;3803;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62265;Dechantskirchen ;1016;1017;2033;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62266;Feistritztal;1232;1232;2464;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62267;Fürstenfeld ;4015;4457;8472;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62268;Grafendorf bei Hartberg ;1566;1559;3125;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62269;Großwilfersdorf ;1065;1049;2114;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62270;Hartl ;1066;1069;2135;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62271;Ilz ;1883;1837;3720;01.01.2017
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62272;Kaindorf ;1486;1468;2954;01.01.2017
